Substrate,SMILES
GABA,C(CC(=O)O)CN
nitrate,[N+](=O)([O-])[O-]
sulfonate,
taurine,C(CS(=O)(=O)O)N
glucose,C(C1C(C(C(C(O1)O)O)O)O)O
maltose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
N-acetylglucosamine,CC(=O)NC(C=O)C(C(C(CO)O)O)O
lipid A,
amino acid (glutamine,
glutamate,C(CC(=O)O)C(C(=O)O)N
aspartate?),C(C(C(=O)O)N)C(=O)O
Autoinducer-2 export,
mobybdenate,
2-keto-3-deoxygluconate,C(C(C(CO)O)O)C(=O)C(=O)O
formate,C(=O)[O-]
nitrite,N(=O)[O-]
multidrug efflux?,
mannitol,C(C(C(C(C(CO)O)O)O)O)O
60 KD inner membrane protein OxaA homolog,
manganese,[Mn]
iron ion,
protein export,
sodium ion:panthothenate symporter,
chloramphenicol (RarD homolog),
nitrate,[N+](=O)([O-])[O-]
nitrite,N(=O)[O-]
potassium ion channel,
sodium ion:proton antiporter,
sodium ion:glutamate symporter,
phosphate,[O-]P(=O)([O-])[O-]
nickel,[Ni]
large-conductance mechanosensitive ion channel,
iron(III),
cyanate,C(=[N-])=O
thiamin,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
chloride ion channel,
iron-hydroxamate,
molybdate,[O-][Mo](=O)(=O)[O-]
multidrug,
sugar (xylose?),
sulfate,[O-]S(=O)(=O)[O-]
phosphonate,[O-]P(=O)=O
xanthine,C1=NC2=C(N1)C(=O)NC(=O)N2
uracil,C1=CNC(=O)NC1=O
nitrate,[N+](=O)([O-])[O-]
small-conductance mechanosensitive ion channel,
metabolite (benzoate?),
sugar,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
sodium ion,[Na+]
sodium ion:phosphate symporter,
sodium ion:dicarboxylate,
sulfate,[O-]S(=O)(=O)[O-]
sulfate,[O-]S(=O)(=O)[O-]
thiosulfate,[O-]S(=O)(=S)[O-]
glucitol,C(C(C(C(C(CO)O)O)O)O)O
sorbitol,C(C(C(C(C(CO)O)O)O)O)O
proton,[H+]
toluene tolerance,
ammonium,[NH4+]
dipeptide,CC(=O)NC(CCCN=C(N)NC(=O)NC)C(=O)N(C)C(CC1=CC=CC=C1)C(=O)O
oligopeptide,
fusaric acid efflux?,
thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
D-methionine,CSCCC(C(=O)O)N
drug,
metabolite?,
cobalamin,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3]
Fe3+-siderophores,
magnesium,[Mg]
cobalt ion,[Co+2]
potassium ion,[K+]
nickel ion,[Ni]
amino aicd (glutamine,
glutamate,C(CC(=O)O)C(C(=O)O)N
aspartate?),C(C(C(=O)O)N)C(=O)O
methionine,CSCCC(C(=O)O)N
spermidine,C(CCNCCCN)CN
putrescine,C(CCN)CN
manganese,[Mn]
zinc ion,[Zn+2]
amino acid (lysine),
arginine,C(CC(C(=O)O)N)CN=C(N)N
ornithine,C(CC(C(=O)O)N)CN
histidine,C1=C(NC=N1)CC(C(=O)O)N
octopine),CC(C(=O)O)NC(CCCN=C(N)N)C(=O)O
sugar (maltose?),
gluconate,C(C(C(C(C(C(=O)O)O)O)O)O)O
pyoverdin (siderophore) exporter PvdE,
aspartate:alanine antiporter,
multidrug,
solvent efflux (HAE1 subfamily),
cellobiose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
Bestrophin anion channel,
arsenite (ArsB),
glycine betaine,C[N+](C)(C)CC(=O)[O-]
carnitine,C[N+](C)(C)CC(CC(=O)[O-])O
choline,C[N+](C)(C)CCO
polyamine,
oxalate:formate antiporter,
multidrug efflux (Bcr,
CflA subfamily),
glycerol uptake,
D-galactonate,C(C(C(C(C(C(=O)[O-])O)O)O)O)O
arginine:ornithine antiporter,
amino acid,CCC(C)C(C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CCCN=C(N)N)N
sodium ion:nucleoside symporter,
glycine betaine,C[N+](C)(C)CC(=O)[O-]
magnesium ion,[Mg+2]
glucose,C(C1C(C(C(C(O1)O)O)O)O)O
ferrous ion,[Fe+2]
rhamnose,CC1C(C(C(C(O1)O)O)O)O
sugar (ribose?),
benzoate,C1=CC=C(C=C1)C(=O)[O-]
dipeptide,
tripeptide symporter,
short-chain fatty acid,
heme,CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[Fe+2]
multidrug efflux (EmrB:QacA subfamily),
lipoprotein releasing,
xylose,C1C(C(C(C(O1)O)O)O)O
aminobenzoyl-glutamate,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)N
proton,[H+]
aspartate symporter,C([C@@H](C(=O)O)N)C(=O)O
antimicrobial peptide uptake,
hemolysin C (HlyC) homolog,
peptide uptake,
glutamate:GABA antiporter,
ferric enterobactin,C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)[O-])[O-])NC(=O)C3=C(C(=CC=C3)[O-])[O-])NC(=O)C4=C(C(=CC=C4)[O-])[O-].[Fe+3]
serine,C(C(C(=O)O)N)O
cobalt,[Co]
zinc,[Zn]
cadmium,[Cd]
cobalt ion,[Co+2]
ascorbate,C(C(C1C(=C(C(=O)O1)[O-])O)O)O
cytosine,C1=C(NC(=O)N=C1)N
purines,
uracil,C1=CNC(=O)NC1=O
thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
allantoin,C1(C(=O)NC(=O)N1)NC(=O)N
